Time taken to solve:	22.392 minutes
Required Solution trajectory

Node # 	 X 	 Y
45975 	 231.000 	 190.000
46109 	 232.000 	 190.000
46243 	 233.000 	 190.000
46377 	 234.000 	 190.000
46511 	 235.000 	 190.000
46645 	 236.000 	 190.000
46783 	 237.000 	 190.000
46921 	 238.000 	 190.000
47063 	 239.000 	 190.000
47209 	 240.000 	 190.000
47355 	 241.000 	 190.000
47505 	 242.000 	 190.000
47663 	 243.000 	 190.000
47825 	 244.000 	 190.000
47995 	 245.000 	 190.000
48207 	 246.000 	 190.000
48419 	 247.000 	 190.000
48631 	 248.000 	 190.000
48843 	 249.000 	 190.000
49055 	 250.000 	 190.000
49267 	 251.000 	 190.000
49479 	 252.000 	 190.000
49691 	 253.000 	 190.000
49903 	 254.000 	 190.000
50115 	 255.000 	 190.000
50327 	 256.000 	 190.000
50539 	 257.000 	 190.000
50751 	 258.000 	 190.000
50963 	 259.000 	 190.000
51175 	 260.000 	 190.000
51387 	 261.000 	 190.000
51601 	 262.000 	 190.000
51815 	 263.000 	 190.000
52029 	 264.000 	 190.000
52243 	 265.000 	 190.000
52457 	 266.000 	 190.000
52671 	 267.000 	 190.000
52885 	 268.000 	 190.000
53101 	 269.000 	 190.000
53317 	 270.000 	 190.000
53533 	 271.000 	 190.000
53749 	 272.000 	 190.000
53967 	 273.000 	 190.000
54185 	 274.000 	 190.000
54403 	 275.000 	 190.000
54621 	 276.000 	 190.000
54841 	 277.000 	 190.000
55061 	 278.000 	 190.000
55281 	 279.000 	 190.000
55501 	 280.000 	 190.000
55723 	 281.000 	 190.000
55945 	 282.000 	 190.000
56167 	 283.000 	 190.000
56391 	 284.000 	 190.000
56615 	 285.000 	 190.000
56839 	 286.000 	 190.000
57065 	 287.000 	 190.000
57291 	 288.000 	 190.000
57519 	 289.000 	 190.000
57747 	 290.000 	 190.000
57978 	 291.000 	 191.000
58209 	 292.000 	 192.000
58440 	 293.000 	 193.000
58673 	 294.000 	 194.000
58906 	 295.000 	 195.000
59141 	 296.000 	 196.000
59378 	 297.000 	 197.000
59615 	 298.000 	 198.000
59854 	 299.000 	 199.000
60093 	 300.000 	 200.000
60334 	 301.000 	 201.000
60577 	 302.000 	 202.000
60820 	 303.000 	 203.000
61065 	 304.000 	 204.000
61312 	 305.000 	 205.000
61561 	 306.000 	 206.000
61810 	 307.000 	 207.000
62061 	 308.000 	 208.000
62314 	 309.000 	 209.000
62569 	 310.000 	 210.000
62826 	 311.000 	 211.000
63085 	 312.000 	 212.000
63346 	 313.000 	 213.000
63611 	 314.000 	 214.000
63878 	 315.000 	 215.000
64147 	 316.000 	 216.000
64420 	 317.000 	 217.000
64697 	 318.000 	 218.000
64978 	 319.000 	 219.000
65265 	 320.000 	 220.000
65567 	 321.000 	 221.000
65869 	 322.000 	 222.000
66171 	 323.000 	 223.000
66473 	 324.000 	 224.000
66775 	 325.000 	 225.000
67077 	 326.000 	 226.000
67379 	 327.000 	 227.000
67681 	 328.000 	 228.000
67983 	 329.000 	 229.000
68285 	 330.000 	 230.000
68587 	 331.000 	 231.000
68889 	 332.000 	 232.000
69191 	 333.000 	 233.000
69493 	 334.000 	 234.000
69795 	 335.000 	 235.000
70097 	 336.000 	 236.000
70399 	 337.000 	 237.000
70701 	 338.000 	 238.000
71003 	 339.000 	 239.000
71305 	 340.000 	 240.000
71607 	 341.000 	 241.000
71909 	 342.000 	 242.000
72211 	 343.000 	 243.000
72513 	 344.000 	 244.000
72815 	 345.000 	 245.000
73117 	 346.000 	 246.000
73419 	 347.000 	 247.000
73721 	 348.000 	 248.000
74023 	 349.000 	 249.000
74325 	 350.000 	 250.000
74627 	 351.000 	 251.000
74929 	 352.000 	 252.000
75231 	 353.000 	 253.000
75533 	 354.000 	 254.000
75835 	 355.000 	 255.000
76137 	 356.000 	 256.000
76439 	 357.000 	 257.000
76741 	 358.000 	 258.000
77043 	 359.000 	 259.000
77345 	 360.000 	 260.000
77647 	 361.000 	 261.000
77949 	 362.000 	 262.000
78251 	 363.000 	 263.000
78553 	 364.000 	 264.000
78855 	 365.000 	 265.000
79157 	 366.000 	 266.000
79459 	 367.000 	 267.000
79761 	 368.000 	 268.000
80063 	 369.000 	 269.000
80365 	 370.000 	 270.000
80667 	 371.000 	 271.000
80969 	 372.000 	 272.000
81271 	 373.000 	 273.000
81573 	 374.000 	 274.000
81875 	 375.000 	 275.000
82177 	 376.000 	 276.000
82479 	 377.000 	 277.000
82781 	 378.000 	 278.000
83083 	 379.000 	 279.000
83385 	 380.000 	 280.000
83687 	 381.000 	 281.000
83989 	 382.000 	 282.000
84291 	 383.000 	 283.000
84593 	 384.000 	 284.000
84895 	 385.000 	 285.000
85197 	 386.000 	 286.000
85499 	 387.000 	 287.000
85801 	 388.000 	 288.000
86103 	 389.000 	 289.000
86405 	 390.000 	 290.000
86707 	 391.000 	 291.000
87009 	 392.000 	 292.000
87311 	 393.000 	 293.000
87613 	 394.000 	 294.000
87915 	 395.000 	 295.000
88217 	 396.000 	 296.000
88519 	 397.000 	 297.000
88821 	 398.000 	 298.000
89123 	 399.000 	 299.000
89425 	 400.000 	 300.000
